id,llm_wer,baseline_wer,ground_truth,llm_prediction,baseline_prediction
1134,0.33,0.22,that is cheap compared to what i usually buy,That is seem compared to what i deciliter,that is tame compared to what i personally buy
1138,0.5,0.0,were you calling me from texas,Were u going be from texas,were you calling me from texas
1140,0.22,0.11,we went to go see the godfather part three,We went to do see the devil part three,we went to go see the devil part three
1143,0.17,0.0,give a voice to the voiceless,Give a voice to the wrestlers,give a voice to the voiceless
1144,0.1,0.0,there has been a change in the price of oil,There has been a change in the choice of oil,there has been a change in the price of oil
1150,0.14,0.0,i was arrested for something really minor,I was arrested for something really marter,i was arrested for something really minor
1151,0.08,0.0,he's going to be traveling to europe with a group of friends,He's going to be traveling to europe with a group of fans,he's going to be traveling to europe with a group of friends
1153,0.12,0.0,the event was really oriented toward little kids,The event was really origin toward little kids,the event was really oriented toward little kids
1154,0.38,0.0,they fell out because of his drug addiction,They fell out because of is drag incision,they fell out because of his drug addiction
1155,0.17,0.0,nobody remembers him as a loser,Dougherty remembers him as a loser,nobody remembers him as a loser
1165,0.12,0.0,but they're planning on doing it very soon,But there planning on doing it very soon,but they're planning on doing it very soon
1166,0.11,0.0,you live right across the street from my daughter,You live right across the grate from my daughter,you live right across the street from my daughter
1177,0.11,0.0,it is important for women who need to work,It is imported for women who need to work,it is important for women who need to work
1184,0.22,0.0,and i think he's as guilty as the devil,And i think he's as county as the devore,and i think he's as guilty as the devil
1191,0.09,0.0,so imagine all of his lines being spoken in that voice,So badgett all of his lines being spoken in that voice,so imagine all of his lines being spoken in that voice
1203,0.2,0.0,i can understand their viewpoint,I can entertained their viewpoint,i can understand their viewpoint
1211,0.17,0.0,i have to be real careful,I have to be here careful,i have to be real careful
1213,0.5,0.0,my husband travels frequently,My anson travels wikel,my husband travels frequently
1218,0.2,0.0,his story is not unusual,His jury is not unusual,his story is not unusual
1220,0.17,0.0,i had found an entry point,I had found and entry point,i had found an entry point
1223,0.2,0.0,business as usual for traders,Basis as usual for traders,business as usual for traders
1224,0.17,0.0,they gave us a special deal,They gave us a basal deal,they gave us a special deal
1227,0.0,0.11,he kept his tone light and casual but firm,He kept his tone light and casual but firm,he kept his tone light and casual but from
1230,0.25,0.0,a fairly good amount,A family good amount,a fairly good amount
1238,0.5,0.0,public relations,Public rentas,public relations
1239,0.11,0.0,it's real easy to swing in there for breakfast,It's we're easy to swing in there for breakfast,it's real easy to swing in there for breakfast
1246,0.4,0.6,satan rejoiced with his birth,Scented rewards with his birth,set a record with his birth
1251,0.11,0.0,i would reconsider where i was buying it from,I would wintersteen where i was buying it from,i would reconsider where i was buying it from
1252,0.25,0.0,it was written at a third grade level,It was rented at a third when level,it was written at a third grade level
1253,0.25,0.12,they're doing a lot of good research here,They're doing a lot of dead runners here,they're doing a lot of good reasons here
1254,0.2,0.0,if it does the job,If it does the time,if it does the job
1255,0.2,0.0,do you like to travel,Do you like to devil,do you like to travel
1261,0.11,0.0,why is this such an unusual thing to do,Why is this such an occasional thing to do,why is this such an unusual thing to do
1263,0.4,0.3,we have a dog too so that adds to it,We have a dog to so not add to in,we have a dog too so not as to in
1265,0.29,0.43,my husband is real into sports too,My husband is real into voice to,my husband is really into voice to
1268,0.43,0.0,cars have come down in price significantly,Cause of come down in price,cars have come down in price significantly
1270,0.15,0.08,i kind of wish that they had a little league for the boys,I kind of wish that they had a little lick for the oars,i kind of wish that they had a little look for the boys
1271,0.44,0.33,and that is the best book to go through,And not is the must be to log through,and not is the best way to learn through
1272,0.29,0.14,it's nice to have a pet dog,It's not to have a bad dog,it's nice to have a bad dog
1273,0.11,0.0,that's one good thing about having a cat though,That's one good thing about ever a cat though,that's one good thing about having a cat though
1274,0.57,0.14,the rich people started leaving the city,The rest people cited living the date,the right people started leaving the city
1275,0.25,0.12,he went over all that with his doctors,He won over all that with his dancers,he went over all that with his dancers
1280,0.2,0.0,but it didn't get the upper part of my body,But it didn't get the hopper part of my betty,but it didn't get the upper part of my body
1289,0.12,0.0,some of the students are failing the class,Some of the students are filing the class,some of the students are failing the class
1296,0.12,0.0,i wouldn't want them to be on drugs,I wouldn't what them to be on drugs,i wouldn't want them to be on drugs
1301,0.11,0.0,i wouldn't say it's as bad as new york,I wouldn't say it's as bad as new you,i wouldn't say it's as bad as new york
1309,0.12,0.0,but do you think bill gates should resign,But do you think pell gates should resign,but do you think bill gates should resign
1312,0.33,0.0,i'm getting a gut feeling here,I'm getting a got filly here,i'm getting a gut feeling here
1314,0.5,0.33,while it's healing take it easy,Well its early take it easy,well it's only take it easy
1315,0.4,0.0,so that's got everybody excited,So that's got verbally incited,so that's got everybody excited
1316,0.29,0.0,didn't mean to cut you off there,Didn't mean to get you off their,didn't mean to cut you off there
1319,0.11,0.0,it's actually the first car we ever bought new,It's actually the first car we ever bought you,it's actually the first car we ever bought new
1320,0.22,0.0,keeping things concise is usually the way to go,Couple things countries is usually the way to go,keeping things concise is usually the way to go
1323,1.0,0.86,i hope everything works out up there,A it easing news in on their,if anything goes on in there
1324,0.83,0.67,are you pleased with this decision,If you leave this is incision,he leaves with his decision
1327,0.67,0.44,in other words there is a choice to make,It other works the is joy to fake,in other words the is going to work
1328,0.67,0.33,that does not seem quite fair,That does a c pin sure,that does not seem paid for
1330,0.22,0.0,fill the jar to the top with boiling water,File the jog to the top with boiling water,fill the jar to the top with boiling water
1332,1.0,0.0,not too long ago,My two lacock,not too long ago
1333,0.38,0.12,she has had really good luck this year,She is out platy good luck this year,she has had pretty good luck this year
1334,0.5,0.0,i went back to school and got my master's degree,I went back to store it can my mrs agree,i went back to school and got my master's degree
1335,0.43,0.0,i hope everything works out up there,I hope other ing work out up there,i hope everything works out up there
1338,0.25,0.0,it is totally ridiculous,It is totally delicious,it is totally ridiculous
1339,0.33,0.22,in other words there is a choice to make,It other words there is a price to pay,in other words there is a price to pay
1340,0.5,0.0,that does not seem quite fair,That does that same one fair,that does not seem quite fair
1341,0.33,1.0,that is horrible,That is orator,that is quite a bit
1342,0.56,0.44,fill the jar to the top with boiling water,File they try to the time with blowing water,while they try to the time with boiling water
1345,0.25,0.38,she has had really good luck this year,She of had pretty good luck this year,we have had pretty good luck this year
1346,0.4,0.0,i went back to school and got my master's degree,I went back to store i got my wesson decay,i went back to school and got my master's degree
1348,0.22,0.0,college credit for community service is a good idea,Knowledge readied for community service is a good idea,college credit for community service is a good idea
1349,0.25,0.0,ethical and religious views on need and pleasure,Lexical and religious feels on need and pleasure,ethical and religious views on need and pleasure
1350,0.11,0.0,the past few weeks are a case in point,The best few weeks are a case in point,the past few weeks are a case in point
1351,0.2,0.0,the government offers financial services,The condiment offers financial services,the government offers financial services
1352,0.09,0.0,mix some cream sauce with it and pour it over rice,Mix some cream sauce with it and boil it over rice,mix some cream sauce with it and pour it over rice
1353,0.5,0.0,people are dropping out of school,Mabel are camping out of your,people are dropping out of school
1362,0.12,0.0,do you have any friends with older children,Do you have any fans with older children,do you have any friends with older children
1365,0.38,0.0,the first demonstration of a touch screen display,The first dimension of a chart when display,the first demonstration of a touch screen display
1366,0.2,0.0,not in a civilized society,Not in a civilize society,not in a civilized society
1370,0.11,0.0,not with all the other things going on today,Not with all the other things going on day,not with all the other things going on today
1373,0.14,0.0,so do you like your new truck,So do you like your new drunk,so do you like your new truck
1376,0.12,0.0,i think there's about seventy five people here,I think there's about seventy five beetle here,i think there's about seventy five people here
1377,0.14,0.0,whatever they tell you is a lie,Whatever they dug you is a lie,whatever they tell you is a lie
1378,0.5,0.75,they can't do as good of a job,They can't to an to of a game,they get to have two of them
1379,0.5,0.0,it's a nice place,It's a day's plays,it's a nice place
1380,0.6,0.0,everybody is sitting here screaming,Everybody is set hear something,everybody is sitting here screaming
1381,0.5,0.12,i just can't do those types of puzzles,I just can do those tapped the bass's,i just can't do those types of bases
1382,0.45,0.55,if their skirts are above the knee they are too short,If there cars are appeal the me they are too right,if their kids are up to the mean they are to write
1383,0.62,0.0,how long have you lived in this house,I long of you lied been this off,how long have you lived in this house
1384,0.67,0.5,especially if he's a repeat offender,Kenneally of is a pretty offender,essentially it is a repeat offender
1386,0.6,0.2,some new types of furniture,Some new tax are manager,some new piece of furniture
1389,0.62,0.75,how is your boss at your new job,R is so bad at your move from,ar is so bad that your move from
1390,0.25,0.12,which is probably about what their equity is,With is probably about what their apennine is,which is probably about what their company is
1391,0.33,0.0,my father is the man in the corduroy jacket,My something is the man in the garter bogen,my father is the man in the corduroy jacket
1394,0.25,0.0,it's a personal decision,It's a passel decision,it's a personal decision
1396,0.25,0.0,keep it clean please,Keep it clean place,keep it clean please
1397,0.2,0.1,i think it's good that you see your cousins frequently,I think it's said that you see your cousins readily,i think it's good that you see your cousins regularly
1398,0.1,0.0,about how many calls have you made on this system,About how many calls of you made on this system,about how many calls have you made on this system
1401,0.25,0.0,i'd like to see silence of the lambs,I'd like to see talents of the knives,i'd like to see silence of the lambs
1404,0.33,0.0,just forty miles north of here,Just funny files north of here,just forty miles north of here
1407,0.2,0.4,losers all the way around,Listens all the way around,this is all the way around
1409,0.33,0.22,i want them to come back up next year,I would them to come book up this year,i would them to come back up this year
1410,0.25,0.0,you don't understand this,You did understand this,you don't understand this
1412,0.29,0.0,this is an invasion of privacy issue,This is an efficient of primacy issue,this is an invasion of privacy issue
1415,0.29,0.14,the only other place i've ever vacationed,The only other place have ever physician,the only other place i've ever vacation
1416,0.33,0.17,but they have snakes over there,But they have six over their,but they have six over there
1417,0.38,0.12,they had snacks and story time and everything,They had scots and tory time and oppressor,they had sex and story time and everything
1419,0.43,0.29,not just with the visit to pittsburgh,Don't just with the pressing to pencil,not just with the pressing to pixel
1420,0.67,0.33,there's no deductions,There's all tonnages,there's no tension
1421,0.25,0.0,what if you were in your kid's shoes,What if you were in your kids knees,what if you were in your kid's shoes
1422,0.29,0.0,i don't know if you've tried it,I don't know if you'd try it,i don't know if you've tried it
1423,0.67,0.33,barometric pressure drops during a tornado,Parametric pressure cracks doing a carnage,barometric pressure drops during the morning
1424,0.43,0.0,cover him up and keep him warm,Fever him up and came in warm,cover him up and keep him warm
